Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,CleanArchitecture.Application\CleanArchitecture.Application.csproj,File,CleanArchitecture.Application\CleanArchitecture.Application.csproj,,,Microsoft.Extensions.DependencyInjection.Abstractions 8.0.2,,,,,"Microsoft.Extensions.DependencyInjection.Abstractions, 8.0.2  Recommendation:  Remove Microsoft.Extensions.DependencyInjection.Abstractions, and replace with new package Microsoft.Extensions.DependencyInjection.Abstractions 10.0.3"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,CleanArchitecture.Application\CleanArchitecture.Application.csproj,File,CleanArchitecture.Application\CleanArchitecture.Application.csproj,,,,,,,,Current target framework: net8.0 Recommended target framework: net10.0
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,CleanArchitecture.Application.UnitTests\CleanArchitecture.Application.UnitTests.csproj,File,CleanArchitecture.Application.UnitTests\CleanArchitecture.Application.UnitTests.csproj,,,,,,,,Current target framework: net8.0 Recommended target framework: net10.0
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,CleanArchitecture.ArchitectureTests\CleanArchitecture.ArchitectureTests.csproj,File,CleanArchitecture.ArchitectureTests\CleanArchitecture.ArchitectureTests.csproj,,,,,,,,Current target framework: net8.0-windows Recommended target framework: net10.0-windows
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,CleanArchitecture.Contracts\CleanArchitecture.Contracts.csproj,File,CleanArchitecture.Contracts\CleanArchitecture.Contracts.csproj,,,,,,,,Current target framework: net8.0 Recommended target framework: net10.0
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,CleanArchitecture.Domain\CleanArchitecture.Domain.csproj,File,CleanArchitecture.Domain\CleanArchitecture.Domain.csproj,,,,,,,,Current target framework: net8.0 Recommended target framework: net10.0
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,CleanArchitecture.Domain.UnitTests\CleanArchitecture.Domain.UnitTests.csproj,File,CleanArchitecture.Domain.UnitTests\CleanArchitecture.Domain.UnitTests.csproj,,,,,,,,Current target framework: net8.0 Recommended target framework: net10.0
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,CleanArchitecture.Infrastructure.Composition\CleanArchitecture.Infrastructure.Composition.csproj,File,CleanArchitecture.Infrastructure.Composition\CleanArchitecture.Infrastructure.Composition.csproj,,,,,,,,Current target framework: net8.0 Recommended target framework: net10.0
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,CleanArchitecture.Infrastructure.EfCore.Sqlite\CleanArchitecture.Infrastructure.EfCore.Sqlite.csproj,File,CleanArchitecture.Infrastructure.EfCore.Sqlite\CleanArchitecture.Infrastructure.EfCore.Sqlite.csproj,,,Microsoft.EntityFrameworkCore 8.0.8,,,,,"Microsoft.EntityFrameworkCore, 8.0.8  Recommendation:  Remove Microsoft.EntityFrameworkCore, and replace with new package Microsoft.EntityFrameworkCore 10.0.3"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,CleanArchitecture.Infrastructure.EfCore.Sqlite\CleanArchitecture.Infrastructure.EfCore.Sqlite.csproj,File,CleanArchitecture.Infrastructure.EfCore.Sqlite\CleanArchitecture.Infrastructure.EfCore.Sqlite.csproj,,,Microsoft.EntityFrameworkCore.Sqlite 8.0.8,,,,,"Microsoft.EntityFrameworkCore.Sqlite, 8.0.8  Recommendation:  Remove Microsoft.EntityFrameworkCore.Sqlite, and replace with new package Microsoft.EntityFrameworkCore.Sqlite 10.0.3"
